SO2,CO,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
2.9,0.16,23,28,10,3.96,6.03,0,0,0,0,0,75.02
3,0.2,23.9,18,9,2.22,6.62,1.983,0.097,1.886,0,0,77.83
3.4,0.25,18.9,25,12,3.56,8.65,1.799,0.143,1.656,0,0,71.04
0,0.27,20.9,25,17,4.41,12.58,1.75,0.134,1.616,0,0,71.14
3,0.17,22.8,24,10,4.13,6.33,0,0,0,0,0,75.59
3.2,0.21,23.3,20,10,2.54,7.26,2,0.105,1.894,0,0,78.47
3.5,0.29,35.4,36,14,3.59,9.97,0,0,0,0,0,76.74
4.7,0.4,27.5,35,26,5.47,20.67,1.89,0.174,1.716,0,0,74.11
4.4,0.35,36.9,31,15,2.19,12.46,2.057,0.122,1.935,0,0,80.82
6.2,0.51,32.7,60,30,4.71,25.23,1.992,0.212,1.78,0,0,67.5
4.1,0.37,43.4,60,15,3.4,11.74,0,0,0,0,0,71.34
5.1,0.42,44,57,19,2.4,16.31,2.131,0.153,1.978,0,0,74.02
5.6,0.49,24.4,47,34,7.78,26.33,1.933,0.193,1.741,0,0,69.07
4.9,0.39,36.5,49,18,3.65,14.39,0,0,0,0,0,70.02
5.4,0.41,36.8,42,20,3.21,17.02,2.011,0.138,1.873,0,0,73.99
4.2,0.53,23.3,52,32,8.46,23.88,1.943,0.194,1.749,0,0,75.57
5.2,0.46,34.1,45,18,3.17,15.1,1.986,0.119,1.867,0,0,81.7
3.7,0.42,33.4,50,16,3.73,12.42,0,0,0,0,0,76.31
4.1,0.35,27.1,29,15,3.72,11.44,0,0,0,0,0,72.34
3.8,0.44,19,30,27,6.99,19.94,1.872,0.164,1.708,0,0,72.3
4.4,0.38,27.7,24,16,3.25,12.36,1.987,0.116,1.871,0,0,76.07
6,0.63,21.8,50,41,11.96,28.93,2.034,0.292,1.742,0,0,67.27
4.8,0.42,30.7,51,23,6.69,16.26,0,0,0,0,0,68.31
6.3,0.49,30.2,50,26,5.61,19.92,2.139,0.212,1.927,0,0,71.19
4.7,0.48,23,45,33,8.13,24.92,1.973,0.236,1.737,0,0,73.83
4.3,0.34,31.8,41,18,4.33,13.63,0,0,0,0,0,73.45
5.4,0.39,33.2,43,20,3.45,16.39,2.042,0.15,1.892,0,0,76.86
4.3,0.4,27.6,34,25,5.69,19.72,1.942,0.179,1.763,0,0,73.82
4.4,0.31,33.8,29,15,2.48,12.7,2.002,0.112,1.89,0,0,77.77
3.4,0.27,33.6,35,13,2.32,10.35,0,0,0,0,0,73.62
4.1,0.31,28.6,24,14,3.13,11.24,2.077,0.153,1.924,0,0,81.63
2.2,0.22,27.6,30,11,2.26,8.46,0,0,0,0,0,77.61
4.4,0.39,23.3,30,25,5.78,18.98,1.939,0.2,1.738,0,0,76.92
4,0.25,29.2,25,12,2.81,9.4,2.082,0.154,1.928,0,0,78.8
4.9,0.31,28.4,30,18,3.49,14.82,1.83,0.162,1.668,0,0,73.74
2.1,0.13,28.3,33,10,1.76,8.73,0,0,0,0,0,76.21
3.2,0.17,23.1,16,10,2.48,7.47,1.816,0.141,1.676,0,0,77.88
3.9,0.24,20.3,23,16,3.91,12.1,1.794,0.132,1.661,0,0,72.31
2,0.14,21.1,24,10,2.31,7.54,0,0,0,0,0,74.35
1.7,0.17,21.8,24,11,2.47,8.86,0,0,0,0,0,78.84
3.3,0.32,18.3,22,20,4.73,15.46,1.866,0.173,1.693,0,0,78.12
3.7,0.25,22.4,16,14,3.42,10.68,1.909,0.225,1.684,0,0,84.94
4.8,0.43,26.7,39,27,5.4,21.83,1.989,0.2,1.788,0,0,73.43
2.7,0.31,33.6,35,14,2.28,11.7,0,0,0,0,0,76.94
4.5,0.36,37.5,30,15,2.65,12.56,0,0,0,0,0,83.58
4.3,0.51,25.7,40,32,7.42,24.91,2.037,0.223,1.814,0,0,73.27
2.7,0.35,34.2,37,15,1.92,12.91,0,0,0,0,0,77.63
4.5,0.39,33.8,33,18,2.86,15.31,1.931,0.16,1.771,0,0,79.44
5,0.56,24.4,53,34,8.35,25.31,2.032,0.231,1.801,0,0,68.62
5.1,0.45,32.8,46,20,3.63,16.54,1.931,0.151,1.781,0,0,74.71
3.5,0.37,32.6,47,17,2.75,14.18,0,0,0,0,0,73
